timestamp,frame,joint,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w
1781113479.8922,0,root,-0.0038753217,0.022141237,0.0055609513,0.06325666,0.104442194,-0.0007835772,0.992517
1781113479.8922,0,hips_joint,-0.0038753217,0.022141237,0.0055609513,0.06325666,0.104442194,-0.0007835772,0.992517
1781113479.8922,0,left_upLeg_joint,0.09430083,-0.0015857077,-0.017495662,0.62467915,-0.44169596,0.5220845,-0.37697327
1781113479.8922,0,left_leg_joint,0.1215314,-0.39971983,0.116943136,-0.37094992,0.65249515,-0.30341867,0.58701247
1781113479.8922,0,left_foot_joint,0.10523967,-0.7839978,-0.13043211,0.6943987,-0.28489116,0.6008572,-0.27498782
1781113479.8922,0,left_toes_joint,0.122470036,-0.89221174,-0.02942047,0.7358091,-0.14811416,0.6420858,-0.15611923
1781113479.8922,0,left_toesEnd_joint,0.13045184,-0.9175951,0.025092272,0.73580915,-0.14811397,0.64208573,-0.15611947
1781113479.8922,0,right_upLeg_joint,-0.102391906,-0.003925221,0.024213519,0.49139524,0.53430665,0.46017817,0.5111589
1781113479.8922,0,right_leg_joint,-0.104710065,-0.4231486,0.06378473,0.59281856,0.38658482,0.6261487,0.32719445
1781113479.8922,0,right_foot_joint,-0.066743486,-0.8201336,-0.16002497,0.22827119,0.6699053,0.29113424,0.6437081
1781113479.8922,0,right_toes_joint,-0.05674877,-0.92157227,-0.051301554,0.09716302,0.7010279,0.16385111,0.6872206
1781113479.8922,0,right_toesEnd_joint,-0.05453015,-0.9434966,0.0052140714,0.09716348,0.701028,0.16385064,0.6872205
1781113479.8922,0,spine_1_joint,-0.003875341,0.022141237,0.0055609555,0.6913574,0.6561132,0.2878766,0.093101375
1781113479.8922,0,spine_2_joint,-0.00541285,0.07743923,0.021438709,0.7028288,0.67481357,0.03202906,-0.22278383
1781113479.8922,0,spine_3_joint,-0.0003941488,0.13121006,0.041334562,0.62000626,0.56582844,-0.2546134,-0.48021114
1781113479.8922,0,spine_4_joint,0.0118094105,0.18140838,0.053415556,-0.44173425,-0.35323402,0.52718705,0.6341693
1781113479.8922,0,spine_5_joint,0.025602011,0.25050053,0.052373674,-0.18093078,-0.08437446,0.7351996,0.64778626
1781113479.8922,0,spine_6_joint,0.016152672,0.34266847,0.037471905,0.12962763,0.16644886,0.77636874,0.5939221
1781113479.8922,0,spine_7_joint,-0.012425027,0.44587287,0.038157307,0.432018,0.37968922,0.64403886,0.5043916
1781113479.8922,0,left_shoulder_1_joint,0.06000848,0.5614098,0.08299279,-0.612188,0.03867999,-0.07363734,0.7863253
1781113479.8922,0,left_arm_joint,0.20305116,0.5377428,0.08724705,-0.37390724,0.34632856,-0.4967828,0.702465
1781113479.8922,0,left_forearm_joint,0.27394366,0.2832112,0.056641024,-0.428844,0.21625133,-0.70719784,0.5188448
1781113479.8922,0,left_hand_joint,0.24881166,0.036858633,0.15904671,0.65473884,-0.598309,0.43464893,-0.15628198
1781113479.8922,0,left_handIndexStart_joint,0.23379704,0.019461684,0.17813629,0.6249401,-0.6075691,0.47592238,-0.11750705
1781113479.8922,0,left_handIndex_1_joint,0.2184349,-0.05050784,0.21444137,0.6249401,-0.6075691,0.47592238,-0.11750705
