timestamp,frame,joint,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w
1783532916.5992,0,root,-0.00014802028,0.020217735,-0.0034443995,-0.043061286,-0.002441497,-0.0028058223,0.99906546
1783532916.5992,0,hips_joint,-0.00014802028,0.020217735,-0.0034443995,-0.043061286,-0.002441497,-0.0028058223,0.99906546
1783532916.5992,0,left_upLeg_joint,0.100239456,-0.0051277517,0.00017405242,0.6242008,-0.3791629,0.5589658,-0.3926395
1783532916.5992,0,left_leg_joint,0.13712178,-0.38929462,0.1686418,-0.27234146,0.6799437,-0.28531432,0.6181441
1783532916.5992,0,left_foot_joint,0.09712785,-0.71996593,-0.14470495,0.6337005,-0.36730933,0.60580343,-0.3106593
1783532916.5992,0,left_toes_joint,0.09655731,-0.8454396,-0.0642904,0.6918323,-0.24054292,0.65370345,-0.19020668
1783532916.5992,0,left_toesEnd_joint,0.098354526,-0.8807141,-0.014973659,0.6918323,-0.2405427,0.65370345,-0.19020689
1783532916.5992,0,right_upLeg_joint,-0.10083495,-0.004037912,-0.0008554095,0.37832558,0.5671353,0.42689767,0.5941258
1783532916.5992,0,right_leg_joint,-0.09756377,-0.3983434,0.14690058,0.605262,0.3225186,0.65260506,0.32209653
1783532916.5992,0,right_foot_joint,-0.07020522,-0.7691368,-0.119356975,0.27757546,0.62714535,0.31510463,0.65601027
1783532916.5992,0,right_toes_joint,-0.0724102,-0.882637,-0.022799758,0.15367818,0.668388,0.1850554,0.7038429
1783532916.5992,0,right_toesEnd_joint,-0.074716724,-0.9109004,0.030823678,0.15367864,0.6683881,0.18505493,0.70384276
1783532916.5992,0,spine_1_joint,-0.00014804007,0.020217735,-0.0034443995,0.46412748,0.53027576,0.4714646,0.53020227
1783532916.5992,0,spine_2_joint,-0.0005475962,0.07732021,-0.010619374,0.46533138,0.5277218,0.47484827,0.52867335
1783532916.5992,0,spine_3_joint,-0.0010047018,0.13448231,-0.01729904,0.4838168,0.50544614,0.49633053,0.51390815
1783532916.5992,0,spine_4_joint,-0.0011977922,0.1874953,-0.01938087,0.51564014,0.46721953,0.5293047,0.48544616
1783532916.5992,0,spine_5_joint,-0.000974456,0.25767782,-0.013103291,0.558755,0.40913278,0.5741253,0.4367877
1783532916.5992,0,spine_6_joint,-0.00043448567,0.34749103,0.014091923,0.5686765,0.38715252,0.59340733,0.41783726
1783532916.5992,0,spine_7_joint,-0.0009031403,0.4474936,0.052400578,0.5520387,0.4051033,0.58551586,0.43395406
1783532916.5992,0,left_shoulder_1_joint,0.087062396,0.5558294,0.08603138,-0.60226053,0.012097629,-0.14705528,0.784545
1783532916.5992,0,left_arm_joint,0.22579624,0.52024657,0.10897084,-0.35311878,0.30236116,-0.5287896,0.7101174
1783532916.5992,0,left_forearm_joint,0.29439914,0.26369095,0.09408283,-0.41024897,0.17902137,-0.71515214,0.53684723
