timestamp,frame,joint,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w
1781113761.9875,0,root,-0.003566206,0.023769638,0.0046463595,0.021983027,0.10496741,-0.009925251,0.99418306
1781113761.9875,0,hips_joint,-0.003566206,0.023769638,0.0046463595,0.021983027,0.10496741,-0.009925251,0.99418306
1781113761.9875,0,left_upLeg_joint,0.094329834,-0.0027438162,-0.016485013,0.6224179,-0.412185,0.57264763,-0.3387831
1781113761.9875,0,left_leg_joint,0.09616428,-0.38220182,0.16609158,-0.31613225,0.6511993,-0.30190092,0.62036735
1781113761.9875,0,left_foot_joint,0.08225792,-0.7417862,-0.116105214,0.6504467,-0.31767628,0.6202317,-0.30218086
1781113761.9875,0,left_toes_joint,0.08654834,-0.8592393,-0.02447092,0.69886774,-0.18863551,0.6662631,-0.17914726
1781113761.9875,0,left_toesEnd_joint,0.08903701,-0.8897138,0.027919607,0.6988678,-0.1886353,0.66626304,-0.17914747
1781113761.9875,0,right_upLeg_joint,-0.10227926,0.0003012514,0.025571555,0.45929322,0.5661744,0.40574074,0.55124456
1781113761.9875,0,right_leg_joint,-0.11476129,-0.40706638,0.13147354,0.64244413,0.30582663,0.6521092,0.2617042
1781113761.9875,0,right_foot_joint,-0.09758722,-0.742854,-0.17849585,0.31713933,0.636935,0.35195738,0.60816306
1781113761.9875,0,right_toes_joint,-0.08877639,-0.8668617,-0.09630758,0.19066939,0.6854991,0.23030886,0.66384786
1781113761.9875,0,right_toesEnd_joint,-0.085991964,-0.90126723,-0.046426486,0.19066986,0.6854993,0.23030837,0.66384774
1781113761.9875,0,spine_1_joint,-0.0035662253,0.023769638,0.0046463637,0.6808375,0.66976947,0.2762203,0.10756962
1781113761.9875,0,spine_2_joint,-0.006431068,0.07967847,0.018000275,0.69616663,0.68200916,0.035165407,-0.22131124
1781113761.9875,0,spine_3_joint,-0.0025604188,0.13343394,0.038191814,0.61658335,0.5689319,-0.23993257,-0.4884398
1781113761.9875,0,spine_4_joint,0.010039827,0.18309125,0.051980667,-0.44046667,-0.3570585,0.50824815,0.6482142
1781113761.9875,0,spine_5_joint,0.026210397,0.2516618,0.053257346,-0.1785598,-0.09325527,0.72237366,0.66151005
1781113761.9875,0,spine_6_joint,0.019973282,0.34441265,0.040425543,0.13795769,0.15111582,0.7729383,0.60058105
1781113761.9875,0,spine_7_joint,-0.006428914,0.44813123,0.044120092,0.4442915,0.36144486,0.64789075,0.50219494
1781113761.9875,0,left_shoulder_1_joint,0.06789592,0.5603937,0.09390535,-0.58815515,0.04987937,-0.059150275,0.80503815
1781113761.9875,0,left_arm_joint,0.21120895,0.538069,0.09234889,-0.3568747,0.3873969,-0.46462482,0.71182
1781113761.9875,0,left_forearm_joint,0.28251857,0.2885837,0.033861663,-0.425652,0.2698088,-0.6603223,0.5567744
1781113761.9875,0,left_hand_joint,0.27779025,0.029994944,0.103986815,0.6750164,-0.6128716,0.36498082,-0.18849465
1781113761.9875,0,left_handIndexStart_joint,0.2652014,0.009408888,0.12160039,0.6496708,-0.62419057,0.4076905,-0.14866914
1781113761.9875,0,left_handIndex_1_joint,0.25623465,-0.06546131,0.14923793,0.6496708,-0.62419057,0.4076905,-0.14866914
1781113761.9875,0,left_handIndex_2_joint,0.25102144,-0.1089905,0.16530626,0.6496708,-0.62419057,0.4076905,-0.14866914
1781113761.9875,0,left_handIndex_3_joint,0.24810207,-0.13336684,0.17430454,0.6496708,-0.62419057,0.4076905,-0.14866914
1781113761.9875,0,left_handIndexEnd_joint,0.24601679,-0.1507785,0.18073188,0.6496708,-0.62419057,0.4076905,-0.14866914
1781113761.9875,0,left_handMidStart_joint,0.27431926,0.0051988577,0.113693684,0.67591405,-0.61252064,0.36297473,-0.190284
1781113761.9875,0,left_handMid_1_joint,0.27326536,-0.0682436,0.13327311,0.67591405,-0.61252064,0.36297473,-0.190284
1781113761.9875,0,left_handMid_2_joint,0.2725248,-0.11985181,0.14703164,0.67591405,-0.61252064,0.36297473,-0.190284
1781113761.9875,0,left_handMid_3_joint,0.27209756,-0.14962578,0.15496923,0.67591405,-0.61252064,0.36297473,-0.190284
1781113761.9875,0,left_handMidEnd_joint,0.2718127,-0.1694751,0.16026096,0.67591405,-0.61252064,0.36297473,-0.190284
1781113761.9875,0,left_handPinkyStart_joint,0.29220748,0.00015789746,0.0931121,0.68915457,-0.6137001,0.28131825,-0.2632456
1781113761.9875,0,left_handPinky_1_joint,0.2978251,-0.06296118,0.097216554,0.68915457,-0.6137001,0.28131825,-0.2632456
1781113761.9875,0,left_handPinky_2_joint,0.3012948,-0.1019465,0.09975166,0.68915457,-0.6137001,0.28131825,-0.2632456
1781113761.9875,0,left_handPinky_3_joint,0.30311224,-0.12236738,0.101079576,0.68915457,-0.6137001,0.28131825,-0.2632456
1781113761.9875,0,left_handPinkyEnd_joint,0.30476448,-0.14093181,0.10228676,0.68915457,-0.6137001,0.28131825,-0.2632456
1781113761.9875,0,left_handRingStart_joint,0.28254673,0.0023532866,0.104190394,0.68337715,-0.6137425,0.32317698,-0.22775494
1781113761.9875,0,left_handRing_1_joint,0.28518388,-0.06652347,0.115515955,0.68337715,-0.6137425,0.32317698,-0.22775494
1781113761.9875,0,left_handRing_2_joint,0.28704536,-0.11514236,0.12351047,0.68337715,-0.6137425,0.32317698,-0.22775494
1781113761.9875,0,left_handRing_3_joint,0.2882088,-0.14552917,0.12850705,0.68337715,-0.6137425,0.32317698,-0.22775494
1781113761.9875,0,left_handRingEnd_joint,0.28898442,-0.16578704,0.1318381,0.68337715,-0.6137425,0.32317698,-0.22775494
1781113761.9875,0,left_handThumbStart_joint,0.25581387,0.00927133,0.11481015,0.29599825,-0.19635877,0.88241655,-0.3084951
1781113761.9875,0,left_handThumb_1_joint,0.22174877,-0.026207183,0.13635325,0.29599825,-0.19635877,0.88241655,-0.3084951
1781113761.9875,0,left_handThumb_2_joint,0.19739868,-0.051564954,0.15175308,0.29599825,-0.19635876,0.88241655,-0.3084951
1781113761.9875,0,left_handThumbEnd_joint,0.1811653,-0.06847014,0.16201963,0.29599825,-0.19635874,0.88241655,-0.3084951
1781113761.9875,0,neck_1_joint,-0.017723087,0.5799551,0.06650257,0.4977194,0.2960712,0.69134,0.4320485
1781113761.9875,0,neck_2_joint,-0.021659637,0.6067183,0.07947314,0.50410944,0.29553282,0.67481524,0.45073062
1781113761.9875,0,neck_3_joint,-0.025076851,0.64296955,0.09603114,0.5003456,0.30759728,0.6529726,0.47818908
1781113761.9875,0,neck_4_joint,-0.026755985,0.6802615,0.110400915,0.49376777,0.32109958,0.6331364,0.5022214
1781113761.9875,0,head_joint,-0.027264824,0.72427624,0.12492837,0.44767278,0.38067615,0.5723393,0.57192844
1781113761.9875,0,jaw_joint,-0.030209677,0.69910866,0.12774242,0.44767278,0.38067615,0.5723393,0.57192844
1781113761.9875,0,chin_joint,-0.06434476,0.6437364,0.21867484,0.44767278,0.38067615,0.5723393,0.57192844
1781113761.9875,0,left_eye_joint,-0.022046054,0.74942887,0.21951465,0.45097572,0.37675735,0.5773055,0.56691515
1781113761.9875,0,left_eyeLowerLid_joint,-0.022046054,0.74942887,0.21951465,0.45097572,0.37675735,0.5773055,0.56691515
1781113761.9875,0,left_eyeUpperLid_joint,-0.022046054,0.74942887,0.21951465,0.45097572,0.37675735,0.5773055,0.56691515
1781113761.9875,0,left_eyeball_joint,-0.022046054,0.74942887,0.21951465,0.45097572,0.37675735,0.5773055,0.56691515
1781113761.9875,0,nose_joint,-0.061786946,0.7181199,0.22918919,0.4509777,0.376755,0.57730854,0.5669122
1781113761.9875,0,right_eye_joint,-0.0833123,0.75436187,0.19951986,0.45097572,0.37675735,0.5773055,0.56691515
1781113761.9875,0,right_eyeLowerLid_joint,-0.0833123,0.75436187,0.19951986,0.45097572,0.37675735,0.5773055,0.56691515
1781113761.9875,0,right_eyeUpperLid_joint,-0.0833123,0.75436187,0.19951986,0.45097572,0.37675735,0.5773055,0.56691515
1781113761.9875,0,right_eyeball_joint,-0.0833123,0.75436187,0.19951986,0.45097572,0.37675735,0.5773055,0.56691515
1781113761.9875,0,right_shoulder_1_joint,-0.09988575,0.55644125,0.03243504,0.76405257,0.14600317,0.0022596454,0.6284117
1781113761.9875,0,right_arm_joint,-0.23874946,0.5236677,0.05855075,0.70171106,0.53532535,0.29378846,0.36703736
1781113761.9875,0,right_forearm_joint,-0.30637106,0.26647255,0.053406484,0.5423961,0.71323806,0.20408916,0.3942656
1781113761.9875,0,right_hand_joint,-0.2793806,0.0160149,0.1447888,0.19590189,0.44679335,0.59223026,0.6412966
1781113761.9875,0,right_handIndexStart_joint,-0.2645589,-0.0024378598,0.1610901,0.15507737,0.48947614,0.60470426,0.6088487
1781113761.9875,0,right_handIndex_1_joint,-0.24765284,-0.073766276,0.19389527,0.15507737,0.48947614,0.60470426,0.6088487
1781113761.9875,0,right_handIndex_2_joint,-0.23782332,-0.11523653,0.2129676,0.15507737,0.48947614,0.60470426,0.6088487
1781113761.9875,0,right_handIndex_3_joint,-0.2323193,-0.13846007,0.22364886,0.15507737,0.48947614,0.60470426,0.6088487
1781113761.9875,0,right_handIndexEnd_joint,-0.22838783,-0.15504803,0.23127829,0.15507737,0.48947614,0.60470426,0.6088487
1781113761.9875,0,right_handMidStart_joint,-0.27453098,-0.007755949,0.15511942,0.1953354,0.4473305,0.5926623,0.64069563
1781113761.9875,0,right_handMid_1_joint,-0.26672375,-0.07876905,0.18109153,0.1953354,0.4473305,0.5926623,0.64069563
1781113761.9875,0,right_handMid_2_joint,-0.26123786,-0.12866947,0.19934246,0.1953354,0.4473305,0.5926623,0.64069563
1781113761.9875,0,right_handMid_3_joint,-0.25807273,-0.15745836,0.2098717,0.1953354,0.4473305,0.5926623,0.64069563
1781113761.9875,0,right_handMidEnd_joint,-0.2559629,-0.17665058,0.2168913,0.1953354,0.4473305,0.5926623,0.64069563
1781113761.9875,0,right_handPinkyStart_joint,-0.2950261,-0.015500705,0.13812016,0.26924816,0.36873704,0.5925202,0.6636702
1781113761.9875,0,right_handPinky_1_joint,-0.29667115,-0.07805136,0.14893873,0.26924816,0.36873704,0.5925202,0.6636702
1781113761.9875,0,right_handPinky_2_joint,-0.2976875,-0.116686285,0.15562142,0.26924816,0.36873704,0.5925202,0.6636702
1781113761.9875,0,right_handPinky_3_joint,-0.29821947,-0.13692334,0.15912114,0.26924816,0.36873704,0.5925202,0.6636702
1781113761.9875,0,right_handPinkyEnd_joint,-0.2987034,-0.15532051,0.16230299,0.26924816,0.36873704,0.5925202,0.6636702
1781113761.9875,0,right_handRingStart_joint,-0.2839356,-0.011846229,0.14731397,0.23326187,0.40917736,0.5931133,0.6529772
1781113761.9875,0,right_handRing_1_joint,-0.28125215,-0.079285435,0.16531242,0.23326187,0.40917736,0.5931133,0.6529772
1781113761.9875,0,right_handRing_2_joint,-0.27935782,-0.12688918,0.17801689,0.23326187,0.40917736,0.5931133,0.6529772
1781113761.9875,0,right_handRing_3_joint,-0.27817413,-0.1566419,0.18595771,0.23326187,0.40917736,0.5931133,0.6529772
1781113761.9875,0,right_handRingEnd_joint,-0.27738443,-0.17647758,0.1912509,0.23326187,0.40917736,0.5931133,0.6529772
1781113761.9875,0,right_handThumbStart_joint,-0.25630558,-0.0029094315,0.15297066,0.2880261,0.9177147,0.1354362,0.23769227
1781113761.9875,0,right_handThumb_1_joint,-0.2175874,-0.034755763,0.17220582,0.28802603,0.9177147,0.13543618,0.23769227
1781113761.9875,0,right_handThumb_2_joint,-0.18991159,-0.057516903,0.18595602,0.28802603,0.9177147,0.13543616,0.23769227
1781113761.9875,0,right_handThumbEnd_joint,-0.17146105,-0.07269124,0.19512203,0.2880261,0.9177147,0.13543613,0.23769227
1781113761.9875,0,camera,1.3977004,-1.1058697,-0.14543459,-0.70028543,0.7029292,0.08564571,0.09030818
1781113762.0229,1,root,-0.0035108526,0.023614027,0.0043815835,0.022168424,0.105383165,-0.009972544,0.99413455
1781113762.0229,1,hips_joint,-0.0035108526,0.023614027,0.0043815835,0.022168424,0.105383165,-0.009972544,0.99413455
1781113762.0229,1,left_upLeg_joint,0.094364434,-0.0029029297,-0.016841335,0.6216758,-0.41331106,0.5714455,-0.34079805
1781113762.0229,1,left_leg_joint,0.09657436,-0.3833196,0.1637253,-0.31842172,0.64957917,-0.30233485,0.6206839
1781113762.0229,1,left_foot_joint,0.084355734,-0.7441294,-0.11698185,0.6512497,-0.3149891,0.62076867,-0.30216268
1781113762.0229,1,left_toes_joint,0.08895435,-0.86118186,-0.02485115,0.69914687,-0.18584482,0.66678685,-0.17902762
1781113762.0229,1,left_toesEnd_joint,0.09148512,-0.8914278,0.027669715,0.6991469,-0.18584462,0.6667868,-0.17902784
1781113762.0229,1,right_upLeg_joint,-0.10220912,0.00014931678,0.025380565,0.4576451,0.5681367,0.40533727,0.55089355
1781113762.0229,1,right_leg_joint,-0.113092296,-0.4068815,0.13274439,0.6422529,0.3072701,0.65224445,0.26014158
1781113762.0229,1,right_foot_joint,-0.09494742,-0.7425638,-0.17728414,0.31609872,0.63795346,0.35302758,0.60701627
1781113762.0229,1,right_toes_joint,-0.08552474,-0.8665432,-0.095120974,0.1894546,0.6863018,0.231577,0.66292477
1781113762.0229,1,right_toesEnd_joint,-0.08253567,-0.90094227,-0.045247283,0.18945505,0.686302,0.2315765,0.66292465
1781113762.0229,1,spine_1_joint,-0.0035108721,0.023614027,0.0043815877,0.6810431,0.6695972,0.27622887,0.10732063
1781113762.0229,1,spine_2_joint,-0.0063496884,0.07951738,0.01776403,0.6962912,0.6818038,0.035491,-0.22150101
1781113762.0229,1,spine_3_joint,-0.0024494422,0.1332571,0.03799182,0.61672395,0.5688759,-0.23926671,-0.4886549
1781113762.0229,1,spine_4_joint,0.010191434,0.1828902,0.05183074,-0.44068947,-0.35729662,0.50737816,0.64861375
1781113762.0229,1,spine_5_joint,0.026462354,0.25143555,0.053187437,-0.17886455,-0.093857534,0.72156096,0.66223
1781113762.0229,1,spine_6_joint,0.020424595,0.34420967,0.040428314,0.13765071,0.15013696,0.7724092,0.6015775
1781113762.0229,1,spine_7_joint,-0.005740194,0.4479876,0.044149023,0.44416162,0.36019823,0.64783144,0.50328195
1781113762.0229,1,left_shoulder_1_joint,0.06875559,0.56004167,0.09414789,-0.588554,0.0491128,-0.060514186,0.8046928
1781113762.0229,1,left_arm_joint,0.21204329,0.53752965,0.0930151,-0.35711157,0.38558385,-0.46593815,0.7118277
1781113762.0229,1,left_forearm_joint,0.28344828,0.2878407,0.03552084,-0.42553633,0.26765424,-0.6620174,0.5558903
1781113762.0229,1,left_hand_joint,0.2781395,0.029567948,0.10676123,0.6743918,-0.61217093,0.36763117,-0.18785855
1781113762.0229,1,left_handIndexStart_joint,0.26546222,0.009075384,0.12442044,0.6488766,-0.62345004,0.4102954,-0.1480812
1781113762.0229,1,left_handIndex_1_joint,0.25630167,-0.065661475,0.15235403,0.6488766,-0.62345004,0.4102954,-0.1480812
1781113762.0229,1,left_handIndex_2_joint,0.2509758,-0.109113134,0.16859451,0.6488766,-0.62345004,0.4102954,-0.1480812
1781113762.0229,1,left_handIndex_3_joint,0.24799329,-0.13344607,0.17768916,0.6488766,-0.62345004,0.4102954,-0.1480812
1781113762.0229,1,left_handIndexEnd_joint,0.24586293,-0.15082674,0.18418534,0.6488766,-0.62345004,0.4102954,-0.1480812
1781113762.0229,1,left_handMidStart_joint,0.27460238,0.0048190877,0.11656438,0.67529714,-0.61182183,0.36562702,-0.18964656
1781113762.0229,1,left_handMid_1_joint,0.2733848,-0.06853546,0.13646159,0.67529714,-0.61182183,0.36562702,-0.18964656
1781113762.0229,1,left_handMid_2_joint,0.2725292,-0.12008191,0.1504434,0.67529714,-0.61182183,0.36562702,-0.18964656
1781113762.0229,1,left_handMid_3_joint,0.2720356,-0.14982025,0.15850984,0.67529714,-0.61182183,0.36562702,-0.18964656
1781113762.0229,1,left_handMidEnd_joint,0.27170652,-0.1696458,0.16388746,0.67529714,-0.61182183,0.36562702,-0.18964656
1781113762.0229,1,left_handPinkyStart_joint,0.29255635,-0.0003349018,0.09606813,0.6888403,-0.6130604,0.28404352,-0.26263344
1781113762.0229,1,left_handPinky_1_joint,0.298078,-0.06344255,0.100468844,0.6888403,-0.6130604,0.28404352,-0.26263344
1781113762.0229,1,left_handPinky_2_joint,0.3014884,-0.102420814,0.10318693,0.6888403,-0.6130604,0.28404352,-0.26263344
1781113762.0229,1,left_handPinky_3_joint,0.3032748,-0.122838,0.10461069,0.6888403,-0.6130604,0.28404352,-0.26263344
1781113762.0229,1,left_handPinkyEnd_joint,0.30489883,-0.14139907,0.10590502,0.6888403,-0.6130604,0.28404352,-0.26263344
1781113762.0229,1,left_handRingStart_joint,0.28285953,0.0019213724,0.10710266,0.6829116,-0.61306983,0.3258693,-0.22712873
1781113762.0229,1,left_handRing_1_joint,0.28536788,-0.06690844,0.118739106,0.6829116,-0.61306983,0.3258693,-0.22712873
1781113762.0229,1,left_handRing_2_joint,0.28713846,-0.11549419,0.12695308,0.6829116,-0.61306983,0.3258693,-0.22712873
1781113762.0229,1,left_handRing_3_joint,0.2882451,-0.14586028,0.1320868,0.6829116,-0.61306983,0.3258693,-0.22712873
1781113762.0229,1,left_handRingEnd_joint,0.28898284,-0.16610435,0.13550928,0.6829116,-0.61306983,0.3258693,-0.22712873
1781113762.0229,1,left_handThumbStart_joint,0.25609842,0.008920002,0.117597856,0.29499522,-0.19407126,0.88356215,-0.30762473
1781113762.0229,1,left_handThumb_1_joint,0.22191197,-0.026420265,0.13917613,0.29499522,-0.19407126,0.88356215,-0.30762473
1781113762.0229,1,left_handThumb_2_joint,0.1974751,-0.05167922,0.1546011,0.29499522,-0.19407126,0.88356215,-0.30762473
1781113762.0229,1,left_handThumbEnd_joint,0.18118387,-0.06851852,0.16488442,0.29499522,-0.19407123,0.88356215,-0.30762473
1781113762.0229,1,neck_1_joint,-0.016755486,0.5798286,0.06657022,0.49744484,0.29482344,0.6914094,0.4331067
1781113762.0229,1,neck_2_joint,-0.020653557,0.6065954,0.0795451,0.5038565,0.294261,0.67486817,0.45176622
1781113762.0229,1,neck_3_joint,-0.024016494,0.6428472,0.09611307,0.50013757,0.30630574,0.6529903,0.4792114
1781113762.0229,1,neck_4_joint,-0.025634063,0.6801364,0.11049704,0.4936037,0.31979507,0.633121,0.5032348
1781113762.0229,1,head_joint,-0.026064996,0.7241454,0.12504445,0.44766465,0.37936816,0.57220185,0.5729415
1781113762.0229,1,jaw_joint,-0.029078335,0.69898385,0.12784012,0.44766465,0.37936816,0.57220185,0.5729415
1781113762.0229,1,chin_joint,-0.063546546,0.6436534,0.21867238,0.44766465,0.37936816,0.57220185,0.5729415
1781113762.0229,1,left_eye_joint,-0.020987654,0.7492401,0.21965384,0.45095623,0.3754495,0.57717687,0.5679293
1781113762.0229,1,left_eyeLowerLid_joint,-0.020987654,0.7492401,0.21965384,0.45095623,0.3754495,0.57717687,0.5679293
1781113762.0229,1,left_eyeUpperLid_joint,-0.020987654,0.7492401,0.21965384,0.45095623,0.3754495,0.57717687,0.5679293
1781113762.0229,1,left_eyeball_joint,-0.020987654,0.7492401,0.21965384,0.45095623,0.3754495,0.57717687,0.5679293
1781113762.0229,1,nose_joint,-0.06082687,0.7180253,0.22922781,0.45095816,0.37544712,0.57717985,0.56792635
1781113762.0229,1,right_eye_joint,-0.08219829,0.7543347,0.19952957,0.45095623,0.3754495,0.57717687,0.5679293
1781113762.0229,1,right_eyeLowerLid_joint,-0.08219829,0.7543347,0.19952957,0.45095623,0.3754495,0.57717687,0.5679293
1781113762.0229,1,right_eyeUpperLid_joint,-0.08219829,0.7543347,0.19952957,0.45095623,0.3754495,0.57717687,0.5679293
1781113762.0229,1,right_eyeball_joint,-0.08219829,0.7543347,0.19952957,0.45095623,0.3754495,0.57717687,0.5679293
1781113762.0229,1,right_shoulder_1_joint,-0.09890271,0.55653495,0.03231466,0.76463205,0.14408799,0.0022057,0.62814975
1781113762.0229,1,right_arm_joint,-0.23792766,0.52417165,0.058081865,0.70243067,0.5337405,0.29456955,0.36734372
1781113762.0229,1,right_forearm_joint,-0.30620614,0.26716328,0.05231078,0.5430531,0.7123147,0.20483844,0.3946425
1781113762.0229,1,right_hand_joint,-0.2797568,0.016523514,0.14335194,0.19619977,0.44560513,0.5922731,0.6419928
1781113762.0229,1,right_handIndexStart_joint,-0.26499236,-0.0019768167,0.15965131,0.1553708,0.4883382,0.6047677,0.60962474
1781113762.0229,1,right_handIndex_1_joint,-0.2482527,-0.07338149,0.19237597,0.1553708,0.4883382,0.6047677,0.60962474
1781113762.0229,1,right_handIndex_2_joint,-0.23851995,-0.11489607,0.21140152,0.1553708,0.4883382,0.6047677,0.60962474
1781113762.0229,1,right_handIndex_3_joint,-0.2330701,-0.13814443,0.22205657,0.1553708,0.4883382,0.6047677,0.60962474
1781113762.0229,1,right_handIndexEnd_joint,-0.22917734,-0.15475014,0.22966728,0.1553708,0.4883382,0.6047677,0.60962474
1781113762.0229,1,right_handMidStart_joint,-0.2749616,-0.007270632,0.15365432,0.19563283,0.44614285,0.59270537,0.6413931
1781113762.0229,1,right_handMid_1_joint,-0.26730794,-0.078335695,0.17952998,0.19563283,0.44614285,0.59270537,0.6413931
