timestamp,frame,joint,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w
1781113435.2474,0,root,-0.004389277,0.021413654,0.0029104215,0.054136947,0.10970752,-0.0022521496,0.992486
1781113435.2474,0,hips_joint,-0.004389277,0.021413654,0.0029104215,0.054136947,0.10970752,-0.0022521496,0.992486
1781113435.2474,0,left_upLeg_joint,0.09352965,-0.002776799,-0.020750474,0.6236142,-0.4549043,0.5065807,-0.38411385
1781113435.2474,0,left_leg_joint,0.12421786,-0.4055762,0.09814812,-0.4042805,0.6409137,-0.31860754,0.5694524
1781113435.2474,0,left_foot_joint,0.112985335,-0.8085006,-0.117849834,0.7134949,-0.25521964,0.601985,-0.2517976
1781113435.2474,0,left_toes_joint,0.1345881,-0.9079574,-0.008982248,0.74893534,-0.11536109,0.6387978,-0.1331356
1781113435.2474,0,left_toesEnd_joint,0.1441278,-0.92875713,0.04719627,0.7489354,-0.11536089,0.63879776,-0.13313583
1781113435.2474,0,right_upLeg_joint,-0.102707826,-0.0042617247,0.023088004,0.4944396,0.54119295,0.4594699,0.50152487
1781113435.2474,0,right_leg_joint,-0.099337116,-0.42368972,0.06034763,0.5949671,0.40345317,0.60869646,0.33575013
1781113435.2474,0,right_foot_joint,-0.06889248,-0.8301541,-0.14699063,0.21956006,0.6845091,0.27211946,0.63968074
1781113435.2474,0,right_toes_joint,-0.05619443,-0.9268341,-0.034286633,0.085841835,0.713716,0.14594439,0.67966217
1781113435.2474,0,right_toesEnd_joint,-0.052471083,-0.94630104,0.023043904,0.085842304,0.7137161,0.1459439,0.6796621
1781113435.2474,0,spine_1_joint,-0.0043892963,0.021413654,0.0029104257,0.6715351,0.6778813,0.28260902,0.0982328
1781113435.2474,0,spine_2_joint,-0.008923417,0.07700772,0.017090498,0.6747824,0.7027486,0.037138354,-0.22233684
1781113435.2474,0,spine_3_joint,-0.008374921,0.13064067,0.037959997,0.5965399,0.58995026,-0.23528759,-0.49065086
1781113435.2474,0,spine_4_joint,0.0018749749,0.18023288,0.053780887,-0.4331709,-0.36587837,0.49713206,0.6567766
1781113435.2474,0,spine_5_joint,0.018720102,0.24855132,0.05750563,-0.19000024,-0.083166,0.7034428,0.6798171
1781113435.2474,0,spine_6_joint,0.017881602,0.34123442,0.042828575,0.112293385,0.17580856,0.7522252,0.62501085
1781113435.2474,0,spine_7_joint,-0.0034938252,0.44604334,0.037684307,0.42102802,0.38359764,0.63405037,0.52303773
1781113435.2474,0,left_shoulder_1_joint,0.07084709,0.56165504,0.07907229,-0.62476003,0.039473597,-0.0779309,0.7759146
1781113435.2474,0,left_arm_joint,0.21368301,0.5369591,0.08431147,-0.38243574,0.34228516,-0.50195587,0.6961495
1781113435.2474,0,left_forearm_joint,0.28330824,0.28143212,0.059672724,-0.4370641,0.20465407,-0.71808875,0.50143856
1781113435.2474,0,left_hand_joint,0.25247315,0.04051384,0.1728791,0.6508284,-0.5956014,0.45032614,-0.1374337
1781113435.2474,0,left_handIndexStart_joint,0.23703875,0.02432538,0.19268358,0.6200252,-0.6036478,0.49132544,-0.0988826
1781113435.2474,0,left_handIndex_1_joint,0.22004642,-0.043594915,0.23202674,0.6200252,-0.6036478,0.49132544,-0.0988826
1781113435.2474,0,left_handIndex_2_joint,0.21016717,-0.08308346,0.25490066,0.6200252,-0.6036478,0.49132544,-0.0988826
1781113435.2474,0,left_handIndex_3_joint,0.2046348,-0.10519704,0.2677101,0.6200252,-0.6036478,0.49132544,-0.0988826
1781113435.2474,0,left_handIndexEnd_joint,0.20068309,-0.12099247,0.27685967,0.6200252,-0.6036478,0.49132544,-0.0988826
1781113435.2474,0,left_handMidStart_joint,0.24630854,0.018152947,0.18641077,0.6519699,-0.5953954,0.4484021,-0.13919649
1781113435.2474,0,left_handMid_1_joint,0.23786177,-0.050351012,0.21825609,0.6519699,-0.5953954,0.4484021,-0.13919649
1781113435.2474,0,left_handMid_2_joint,0.2319262,-0.09848893,0.24063389,0.6519699,-0.5953954,0.4484021,-0.13919649
1781113435.2474,0,left_handMid_3_joint,0.22850184,-0.1262608,0.25354415,0.6519699,-0.5953954,0.4484021,-0.13919649
1781113435.2474,0,left_handMidEnd_joint,0.22621894,-0.14477539,0.262151,0.6519699,-0.5953954,0.4484021,-0.13919649
1781113435.2474,0,left_handPinkyStart_joint,0.2651125,0.008294902,0.1685717,0.6746882,-0.60149634,0.37056282,-0.21373236
1781113435.2474,0,left_handPinky_1_joint,0.26522493,-0.053304438,0.18399683,0.6746882,-0.60149634,0.37056282,-0.21373236
1781113435.2474,0,left_handPinky_2_joint,0.2652944,-0.091351084,0.1935241,0.6746882,-0.60149634,0.37056282,-0.21373236
1781113435.2474,0,left_handPinky_3_joint,0.2653308,-0.111280285,0.1985146,0.6746882,-0.60149634,0.37056282,-0.21373236
1781113435.2474,0,left_handPinkyEnd_joint,0.26536387,-0.12939773,0.20305139,0.6746882,-0.60149634,0.37056282,-0.21373236
1781113435.2474,0,left_handRingStart_joint,0.25491646,0.013094959,0.17826082,0.6641915,-0.5989773,0.4106333,-0.17735982
1781113435.2474,0,left_handRing_1_joint,0.2510895,-0.052658424,0.20152202,0.6641915,-0.5989773,0.4106333,-0.17735982
1781113435.2474,0,left_handRing_2_joint,0.24838813,-0.09907257,0.2179417,0.6641915,-0.5989773,0.4106333,-0.17735982
1781113435.2474,0,left_handRing_3_joint,0.24669977,-0.12808141,0.228204,0.6641915,-0.5989773,0.4106333,-0.17735982
1781113435.2474,0,left_handRingEnd_joint,0.2455742,-0.14742064,0.23504552,0.6641915,-0.5989773,0.4106333,-0.17735982
1781113435.2474,0,left_handThumbStart_joint,0.22816767,0.023618722,0.18526357,0.2803867,-0.11656179,0.9180989,-0.25473782
1781113435.2474,0,left_handThumb_1_joint,0.18988448,-0.005010023,0.20971884,0.2803867,-0.11656179,0.9180989,-0.25473782
